0,-0.15318,-0.14848,-0.0027697,0.97698,-0.28928,-0.30012,0.90898
0.026,-0.15003,-0.15615,0.00059577,0.97627,-0.30508,-0.29275,0.90621
0.051,-0.14941,-0.15919,-0.00045477,0.97588,-0.31056,-0.29176,0.90467
0.068,-0.15028,-0.15997,-0.0010736,0.97561,-0.31182,-0.29358,0.90365
0.085,-0.15012,-0.15927,-0.0011896,0.97575,-0.31046,-0.29333,0.90419
0.101,-0.14986,-0.15894,-0.0011948,0.97585,-0.30984,-0.29285,0.90456
0.118,-0.14939,-0.15889,-0.0013921,0.97593,-0.30971,-0.29204,0.90487
0.135,-0.14969,-0.15913,-0.0015832,0.97584,-0.3101,-0.29265,0.90454
0.152,-0.15247,-0.16088,-0.0016382,0.97512,-0.31326,-0.29788,0.90174
0.168,-0.15629,-0.16272,-0.0014292,0.97421,-0.3166,-0.30498,0.89819
0.186,-0.15883,-0.16511,-0.00061109,0.9734,-0.32123,-0.30941,0.89503
0.204,-0.16026,-0.16977,0.0011284,0.97236,-0.33053,-0.31128,0.89099
0.218,-0.16226,-0.17442,0.0026783,0.97121,-0.33966,-0.31424,0.8865
0.235,-0.16432,-0.17782,0.0039355,0.97024,-0.34635,-0.31747,0.88275
0.252,-0.16429,-0.17912,0.0047855,0.97,-0.34907,-0.317,0.88185
0.268,-0.163,-0.17871,0.0052166,0.97029,-0.3485,-0.31445,0.88299
0.285,-0.1614,-0.17656,0.0045142,0.97096,-0.34432,-0.31183,0.88556
0.303,-0.15947,-0.17626,0.0040204,0.97133,-0.34369,-0.30838,0.887
0.319,-0.1588,-0.17587,0.0027982,0.97152,-0.34261,-0.30756,0.88771
0.335,-0.15894,-0.17496,0.00031201,0.97166,-0.34011,-0.30876,0.88825
0.353,-0.15944,-0.17402,-0.0012066,0.97175,-0.33783,-0.31029,0.88859
0.37,-0.15955,-0.17229,-0.0020049,0.97204,-0.33431,-0.31086,0.88972
0.385,-0.1601,-0.17068,-0.003169,0.97223,-0.33086,-0.31238,0.89047
0.402,-0.16105,-0.1694,-0.0042448,0.97229,-0.32805,-0.31461,0.89073
