0,0.0013708,-0.088652,0.007345,0.99603,-0.17658,0.004033,0.98428
0.0725,-0.0031263,-0.092874,-0.010212,0.99562,-0.18487,-0.0081221,0.98273
0.0866,-0.006477,-0.094198,-0.013458,0.99544,-0.18736,-0.01543,0.98217
0.1035,-0.0061438,-0.093562,-0.01172,0.99553,-0.18614,-0.014426,0.98242
0.12,-0.0064017,-0.092963,-0.01064,0.99559,-0.18497,-0.014725,0.98263
0.1369,-0.0060698,-0.091911,-0.0094013,0.9957,-0.18292,-0.013816,0.98303
0.1535,-0.0053518,-0.090997,-0.0090101,0.9958,-0.18113,-0.012298,0.98338
0.1703,-0.0046845,-0.089691,-0.0094673,0.99591,-0.17856,-0.011029,0.98387
0.1874,-0.0046452,-0.088339,-0.0098473,0.99603,-0.17589,-0.010993,0.98435
0.2041,-0.0042432,-0.087267,-0.010646,0.99612,-0.17377,-0.010311,0.98473
0.2213,-0.00313,-0.085424,-0.012209,0.99626,-0.17013,-0.0083224,0.98539
0.2461,-0.0012437,-0.084356,-0.014801,0.99633,-0.16806,-0.0049753,0.98577
0.2705,0.00094753,-0.082835,-0.018043,0.9964,-0.16511,-0.001101,0.98627
0.2872,0.0023026,-0.082128,-0.018296,0.99645,-0.16376,0.0015836,0.9865
0.3039,0.0041104,-0.081641,-0.018708,0.99648,-0.16286,0.0051372,0.98664
0.3207,0.0059711,-0.081395,-0.019343,0.99648,-0.16245,0.0087511,0.98668
0.3376,0.0079736,-0.081078,-0.020129,0.99647,-0.1619,0.012627,0.98673
0.3555,0.0095755,-0.081187,-0.020416,0.99644,-0.16219,0.015768,0.98663
0.3707,0.011292,-0.081307,-0.019809,0.99643,-0.16248,0.019283,0.98652
0.3893,0.01272,-0.081573,-0.018568,0.99641,-0.16303,0.022319,0.98637
0.4042,0.013751,-0.081559,-0.017919,0.99641,-0.16303,0.02448,0.98632
0.421,0.013502,-0.08175,-0.017323,0.99641,-0.16338,0.024075,0.98627
0.4373,0.013631,-0.08186,-0.016457,0.99641,-0.16358,0.02447,0.98623
0.4541,0.01379,-0.082012,-0.015713,0.99641,-0.16387,0.024903,0.98617
0.4707,0.014094,-0.082029,-0.015635,0.99641,-0.16391,0.025522,0.98615
0.4875,0.014194,-0.082029,-0.015747,0.9964,-0.16392,0.025703,0.98614
0.5048,0.014503,-0.081937,-0.015939,0.9964,-0.16375,0.02629,0.98615
0.521,0.014739,-0.081542,-0.016427,0.99643,-0.16299,0.026693,0.98627
0.5376,0.014756,-0.080973,-0.01725,0.99646,-0.16188,0.026613,0.98645
0.555,0.014934,-0.080225,-0.018215,0.9965,-0.16043,0.026841,0.98668
0.571,0.014906,-0.079765,-0.019012,0.99652,-0.15954,0.026674,0.98683
0.5877,0.014777,-0.079219,-0.019566,0.99656,-0.15847,0.026352,0.98701
0.6047,0.014443,-0.078635,-0.020472,0.99659,-0.15732,0.025567,0.98722
0.6222,0.013984,-0.077995,-0.021495,0.99662,-0.15606,0.024521,0.98744
0.6378,0.01368,-0.077629,-0.022119,0.99664,-0.15534,0.023833,0.98757
0.6553,0.013256,-0.077306,-0.022711,0.99666,-0.1547,0.022912,0.9877
0.6712,0.013242,-0.077229,-0.023058,0.99666,-0.15455,0.022835,0.98772
0.6879,0.012797,-0.077206,-0.023949,0.99665,-0.15451,0.021811,0.98775
0.7055,0.012401,-0.077238,-0.024943,0.99662,-0.15457,0.020865,0.98776
0.7213,0.011709,-0.077302,-0.02668,0.99658,-0.1547,0.019213,0.98777
0.7381,0.011184,-0.077558,-0.028658,0.99651,-0.15522,0.017844,0.98772
0.7547,0.010486,-0.077883,-0.03065,0.99644,-0.15585,0.016123,0.98765
0.7715,0.010192,-0.078456,-0.032481,0.99634,-0.157,0.015212,0.98748
0.7882,0.010202,-0.079205,-0.034294,0.99622,-0.15851,0.014894,0.98725
0.8062,0.01038,-0.079996,-0.036346,0.99608,-0.16012,0.014863,0.98699
0.8223,0.010234,-0.080622,-0.038774,0.99594,-0.16138,0.014133,0.98679
0.8382,0.0096826,-0.081359,-0.04172,0.99576,-0.16284,0.012495,0.98657
