What is your study ID? (Ask the experimenter),What is your gender?,What is your age?,"Have you ever experienced a mobile VR system, like the ones pictured?","If yes, how many occasions have you experienced mobile VR?","Have you ever experienced a room-scale VR system, like the ones pictured?","If yes, how many occasions have you experienced room-scale VR?","Have you ever watched a 360-degree video, like the ones pictured?","If yes, how many 360-degree videos have you watched?",,,
MD58DX,Male,30,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",5 videos,,,
R51ADW,Female,21,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
O6PITP,Male,25,"Yes, I have experienced mobile VR before.",3 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",2 videos,,,
HM58CY,Female,25,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
I3T5FG,Male,24,"Yes, I have experienced mobile VR before.",6-10 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
PTJLQ5,Male,23,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
NPDAIX,Female,23,"Yes, I have experienced mobile VR before.",4 occasions,"Yes, I have experienced room-scale VR before.",10-20 occasions,"No, I have not watched a 360-degree video.",,,,
AJ8V5N,Male,24,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",2 videos,,,
IU1BX7,Male,27,"Yes, I have experienced mobile VR before.",3 occasions,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
ZFCNY8,Male,21,"Yes, I have experienced mobile VR before.",3 occasions,"Yes, I have experienced room-scale VR before.",2 occasions,"Yes, I have watched a 360-degree video before.",3 videos,,,
79A9GO,Female,21,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",5 videos,,,
FQF0XQ,Female,20,"Yes, I have experienced mobile VR before.",1 occasion,"Yes, I have experienced room-scale VR before.",1 occasion,"Yes, I have watched a 360-degree video before.",1 video,,,
LKJF0Q,Male,21,"No, I have not experienced mobile VR",,"Yes, I have experienced room-scale VR before.",1 occasion,"No, I have not watched a 360-degree video.",,,,
R9G91X,Male,28,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",1 video,,,
LFY674,Male,23,"Yes, I have experienced mobile VR before.",4 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",4 videos,,,
OFE3NS,Female,20,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
ILEBGM,Male,45,"Yes, I have experienced mobile VR before.",2 occasions,"Yes, I have experienced room-scale VR before.",20-50 occasions,"No, I have not watched a 360-degree video.",,,,
ANPIUN,Male,26,"Yes, I have experienced mobile VR before.",3 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
1CSD3Y,Male,19,"Yes, I have experienced mobile VR before.",20-50 occasions,"Yes, I have experienced room-scale VR before.",6-10 occasions,"Yes, I have watched a 360-degree video before.",3 videos,,,
UBCLRB,Male,20,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",1 video,,,
VDRFDG,Female,28,"Yes, I have experienced mobile VR before.",3 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",3 videos,,,
S9G44K,Female,33,"Yes, I have experienced mobile VR before.",1 occasion,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
88XYOT,Male,30,"Yes, I have experienced mobile VR before.",50+ occasions,"Yes, I have experienced room-scale VR before.",50+ occasions,"Yes, I have watched a 360-degree video before.",50+ videos,,,
