0,-0.15913,0.013568,0.24447,-0.95641,-0.10376,0.29775,0.94899
0.018,-0.15882,0.014418,0.24636,-0.95597,-0.10582,0.29655,0.94914
0.031,-0.15824,0.016524,0.24817,-0.95556,-0.11012,0.29422,0.94937
0.048,-0.15931,0.016921,0.24991,-0.95492,-0.11195,0.2958,0.94867
0.063,-0.15699,0.018821,0.25088,-0.95502,-0.11472,0.29041,0.95
0.08,-0.15742,0.017394,0.25007,-0.95519,-0.11196,0.29203,0.94983
0.097,-0.15565,0.019006,0.24831,-0.9559,-0.11364,0.28814,0.95082
0.113,-0.15501,0.020352,0.2477,-0.95614,-0.11571,0.28635,0.95111
0.13,-0.15532,0.020718,0.24849,-0.95588,-0.1168,0.28663,0.9509
0.147,-0.15496,0.0203,0.24826,-0.956,-0.11575,0.2862,0.95115
0.164,-0.15493,0.020116,0.24829,-0.956,-0.1154,0.28624,0.95118
0.18,-0.15489,0.020059,0.24832,-0.956,-0.11528,0.2862,0.95121
0.198,-0.15481,0.020072,0.24839,-0.956,-0.11528,0.28603,0.95126
0.215,-0.15497,0.019999,0.24839,-0.95597,-0.11522,0.28636,0.95117
0.23,-0.15963,0.022072,0.24965,-0.95483,-0.12185,0.29381,0.94806
0.247,-0.15624,0.019965,0.24901,-0.95561,-0.11597,0.28866,0.95038
0.264,-0.15711,0.02086,0.24922,-0.95539,-0.11817,0.2898,0.94976
0.281,-0.15658,0.020233,0.24932,-0.95546,-0.11674,0.28912,0.95015
0.297,-0.15645,0.020298,0.24938,-0.95547,-0.11682,0.28884,0.95022
0.314,-0.1551,0.020432,0.24886,-0.95582,-0.11626,0.28633,0.95105
0.332,-0.1537,0.020801,0.24831,-0.95618,-0.11611,0.28359,0.95189
0.347,-0.15242,0.020893,0.24789,-0.9565,-0.11554,0.28122,0.95266
0.364,-0.15063,0.020822,0.24658,-0.95712,-0.11414,0.27807,0.95375
0.382,-0.1476,0.020066,0.24448,-0.95814,-0.11062,0.27303,0.95562
0.398,-0.14363,0.019121,0.24183,-0.95944,-0.10616,0.26637,0.95801
0.414,-0.14025,0.018569,0.23899,-0.96066,-0.10272,0.2606,0.95997
0.431,-0.13768,0.017793,0.23577,-0.96184,-0.09915,0.25647,0.96145
0.447,-0.13446,0.016742,0.23202,-0.96323,-0.094649,0.25126,0.96328
0.464,-0.13085,0.01515,0.22692,-0.96496,-0.088621,0.24565,0.9653
0.481,-0.12648,0.013084,0.22264,-0.96657,-0.081613,0.23868,0.96766
0.499,-0.12291,0.011626,0.21717,-0.9683,-0.075898,0.23297,0.96952
0.514,-0.11899,0.01015,0.2094,-0.97051,-0.069533,0.22671,0.97148
0.531,-0.11595,0.0098925,0.20147,-0.97256,-0.065964,0.22156,0.97291
0.548,-0.11196,0.0082079,0.19368,-0.97462,-0.059368,0.21506,0.9748
0.565,-0.10912,0.0068,0.18657,-0.97634,-0.053995,0.21054,0.97609
0.581,-0.10605,0.0053983,0.1807,-0.97779,-0.048883,0.20544,0.97745
0.598,-0.10227,0.0028075,0.17822,-0.97866,-0.041948,0.19917,0.97907
0.615,-0.099194,-6.2268e-05,0.17557,-0.97946,-0.034709,0.19433,0.98032
0.631,-0.096623,-0.0024557,0.17374,-0.98004,-0.028762,0.19024,0.98132
0.648,-0.09404,-0.003601,0.17147,-0.98068,-0.025187,0.18568,0.98229
0.665,-0.091371,-0.0043748,0.16829,-0.98148,-0.022166,0.18083,0.98326
0.681,-0.089127,-0.0048487,0.16414,-0.98239,-0.019732,0.17671,0.98407
0.698,-0.086317,-0.0052993,0.15969,-0.98337,-0.017145,0.17146,0.98504
0.715,-0.083227,-0.0058986,0.15447,-0.98447,-0.014099,0.16569,0.98608
0.731,-0.082057,-0.0059824,0.15055,-0.98517,-0.01292,0.16348,0.98646
0.748,-0.080807,-0.0059566,0.14764,-0.98572,-0.012118,0.16106,0.98687
0.765,-0.077491,-0.0068619,0.14269,-0.98671,-0.0085725,0.15488,0.9879
0.782,-0.074416,-0.0081604,0.13658,-0.9878,-0.0042064,0.14924,0.98879
0.798,-0.072616,-0.0088448,0.13094,-0.98869,-0.0015265,0.14591,0.9893
0.815,-0.071676,-0.0087306,0.12606,-0.98939,-0.00079461,0.14403,0.98957
0.832,-0.070241,-0.0089877,0.12182,-0.99002,0.00068224,0.14127,0.98997
0.849,-0.068128,-0.0097507,0.1166,-0.99079,0.0034343,0.13727,0.99053
0.865,-0.065215,-0.010617,0.10961,-0.99178,0.0067625,0.13168,0.99127
0.882,-0.061995,-0.011296,0.10173,-0.99281,0.0098166,0.1254,0.99206
0.898,-0.058789,-0.011529,0.094403,-0.99373,0.011813,0.11902,0.99282
0.915,-0.055537,-0.011711,0.086806,-0.99461,0.013654,0.11251,0.99356
0.932,-0.051418,-0.012708,0.079442,-0.99543,0.017131,0.10439,0.99439
0.949,-0.046996,-0.013348,0.070643,-0.9963,0.019957,0.095531,0.99523
0.966,-0.043092,-0.014163,0.06273,-0.997,0.022834,0.087702,0.99589
0.982,-0.03993,-0.014571,0.056124,-0.99752,0.024588,0.081298,0.99639
0.999,-0.037363,-0.014874,0.049638,-0.99796,0.025978,0.07605,0.99677
1.017,-0.034423,-0.015749,0.043661,-0.99833,0.028439,0.070107,0.99713
1.033,-0.031003,-0.016882,0.03811,-0.99865,0.031356,0.06321,0.99751
1.049,-0.027883,-0.017609,0.033211,-0.9989,0.033328,0.056875,0.99782
1.066,-0.025964,-0.018027,0.029712,-0.99906,0.034476,0.052951,0.998
