0,-0.097561,-0.0036491,-0.12989,0.98671,0.018144,-0.19348,0.98094
0.035,-0.10512,-0.0041348,-0.13495,0.98525,0.020226,-0.20826,0.97786
0.054,-0.11046,-0.003232,-0.13939,0.98405,0.024431,-0.21829,0.97558
0.07,-0.11318,-0.0018037,-0.14162,0.98343,0.02851,-0.22313,0.97437
0.087,-0.11546,-0.00043478,-0.14352,0.98289,0.032285,-0.22709,0.97334
0.104,-0.1172,0.00096563,-0.14514,0.98244,0.035919,-0.23001,0.97253
0.12,-0.11839,0.0022515,-0.14685,0.98205,0.039194,-0.23187,0.97196
0.137,-0.11927,0.0030623,-0.14812,0.98175,0.041345,-0.23328,0.97153
0.154,-0.12004,0.0039497,-0.14927,0.98148,0.04359,-0.23446,0.97115
0.17,-0.12091,0.0043326,-0.15001,0.98125,0.044777,-0.23598,0.97072
0.187,-0.12148,0.0045079,-0.15026,0.98114,0.045353,-0.23702,0.97044
0.204,-0.12208,0.0044091,-0.15015,0.98109,0.045311,-0.23822,0.97015
0.22,-0.12277,0.0043365,-0.15042,0.98096,0.045444,-0.23956,0.96982
0.237,-0.12383,0.0041355,-0.15073,0.98078,0.045442,-0.24166,0.9693
0.254,-0.12562,0.0040553,-0.15114,0.98049,0.045927,-0.24512,0.9684
0.27,-0.12801,0.0037452,-0.15218,0.98002,0.046301,-0.24976,0.9672
0.287,-0.12987,0.0037057,-0.15331,0.9796,0.04708,-0.2533,0.96624
0.304,-0.13138,0.0038015,-0.15494,0.97914,0.048157,-0.2561,0.96545
0.32,-0.13306,0.0037382,-0.1568,0.97862,0.049046,-0.25926,0.96456
0.337,-0.13511,0.0040074,-0.15892,0.97799,0.050784,-0.26301,0.96346
0.354,-0.13717,0.0047254,-0.16188,0.97722,0.053644,-0.26655,0.96233
0.371,-0.14001,0.0055477,-0.16506,0.97628,0.057053,-0.27155,0.96073
0.388,-0.14299,0.0073277,-0.16855,0.97524,0.062494,-0.27642,0.959
0.404,-0.14632,0.0092747,-0.17258,0.97402,0.068573,-0.28184,0.95701
0.421,-0.1493,0.012656,-0.17624,0.97288,0.077251,-0.28604,0.9551
0.437,-0.15186,0.016894,-0.17938,0.97184,0.087317,-0.2891,0.95331
0.454,-0.1543,0.02281,-0.18214,0.97082,0.1005,-0.29128,0.95134
0.471,-0.15717,0.030443,-0.18451,0.96971,0.11704,-0.29358,0.94874
0.489,-0.16023,0.040815,-0.18605,0.96853,0.13868,-0.29519,0.94532
0.504,-0.16291,0.052902,-0.18741,0.96723,0.1634,-0.29532,0.94132
0.521,-0.16557,0.066329,-0.18844,0.96575,0.19051,-0.2948,0.93637
0.538,-0.16772,0.080408,-0.18947,0.96411,0.2186,-0.29294,0.93081
0.554,-0.16976,0.093653,-0.19063,0.96233,0.24497,-0.29102,0.92482
0.571,-0.17111,0.1068,-0.19136,0.96057,0.27066,-0.28784,0.91863
0.588,-0.17226,0.11967,-0.1918,0.95876,0.29555,-0.2844,0.91201
0.604,-0.17311,0.1318,-0.19198,0.95698,0.31873,-0.28072,0.90532
0.621,-0.17432,0.14326,-0.19189,0.95513,0.34056,-0.27802,0.89818
0.638,-0.17593,0.15399,-0.1915,0.95324,0.36095,-0.27644,0.89067
0.655,-0.17693,0.1643,-0.19134,0.95136,0.38032,-0.27378,0.8834
0.671,-0.17781,0.17374,-0.19091,0.94961,0.39786,-0.27135,0.8764
0.688,-0.17874,0.18262,-0.19073,0.9478,0.41436,-0.26916,0.8694
0.704,-0.17974,0.19105,-0.19094,0.9459,0.43007,-0.26707,0.86239
0.721,-0.18143,0.19826,-0.19114,0.94405,0.4437,-0.26678,0.85555
0.738,-0.18346,0.20497,-0.19116,0.94223,0.4564,-0.26735,0.84866
0.754,-0.18568,0.21069,-0.19136,0.94049,0.46737,-0.26863,0.84226
0.771,-0.18802,0.21591,-0.19146,0.93881,0.4774,-0.27036,0.83606
0.788,-0.19017,0.22094,-0.19169,0.93716,0.48702,-0.27173,0.83004
0.805,-0.19198,0.22529,-0.19174,0.93575,0.49525,-0.27289,0.82478
0.821,-0.19339,0.22962,-0.19134,0.93448,0.50316,-0.27358,0.81975
0.838,-0.1943,0.23362,-0.19087,0.9334,0.51029,-0.27354,0.81534
0.855,-0.19532,0.23746,-0.19021,0.93235,0.51709,-0.27388,0.81093
0.871,-0.19613,0.24121,-0.18953,0.93136,0.52365,-0.2739,0.8067
0.888,-0.19678,0.24459,-0.1888,0.93049,0.52948,-0.27384,0.80291
0.904,-0.19718,0.24774,-0.18783,0.92977,0.53475,-0.27359,0.79949
0.921,-0.19744,0.25079,-0.18704,0.92905,0.53985,-0.27305,0.79625
0.938,-0.19767,0.25341,-0.18616,0.92847,0.54416,-0.27271,0.79342
0.955,-0.19772,0.25609,-0.18531,0.92789,0.54852,-0.27202,0.79065
0.971,-0.19762,0.25845,-0.18433,0.92745,0.55226,-0.27128,0.7883
0.989,-0.19765,0.26038,-0.18329,0.92711,0.55526,-0.27103,0.78627
1.005,-0.1979,0.26223,-0.1824,0.92671,0.55822,-0.27114,0.78414
1.021,-0.19815,0.26368,-0.18123,0.92648,0.56041,-0.2716,0.78242
1.038,-0.19858,0.26482,-0.18025,0.92625,0.56218,-0.2724,0.78087
1.055,-0.19889,0.26595,-0.17917,0.92607,0.56386,-0.27307,0.77942
1.071,-0.19903,0.26624,-0.17874,0.92604,0.56424,-0.27345,0.77901
1.088,-0.19941,0.26592,-0.17815,0.92617,0.56362,-0.27463,0.77904
1.105,-0.1996,0.26589,-0.17777,0.92621,0.5635,-0.27521,0.77893
1.121,-0.19984,0.26595,-0.1772,0.92625,0.56349,-0.27595,0.77867
1.139,-0.19999,0.26599,-0.17648,0.92634,0.56338,-0.27662,0.77852
1.155,-0.20015,0.26609,-0.17593,0.92638,0.56343,-0.27721,0.77827
1.171,-0.20045,0.2661,-0.17561,0.92638,0.56342,-0.27792,0.77802
1.188,-0.20076,0.26593,-0.17525,0.92643,0.56309,-0.27878,0.77795
1.205,-0.20079,0.26595,-0.17508,0.92644,0.56309,-0.27891,0.7779
1.221,-0.20084,0.26599,-0.1748,0.92648,0.56309,-0.27915,0.77782
1.238,-0.20085,0.26618,-0.17453,0.92647,0.56333,-0.27925,0.77761
1.255,-0.20094,0.26637,-0.17444,0.92641,0.56365,-0.27938,0.77733
1.271,-0.20106,0.26652,-0.17435,0.92636,0.56389,-0.27957,0.77709
1.288,-0.2012,0.26658,-0.1743,0.92632,0.56401,-0.27982,0.77691
1.305,-0.20139,0.26666,-0.17425,0.92627,0.56418,-0.28015,0.77667
1.321,-0.20165,0.26678,-0.17416,0.92619,0.56442,-0.28062,0.77633
1.339,-0.202,0.26689,-0.17404,0.9261,0.56466,-0.28125,0.77592
1.355,-0.20223,0.26717,-0.17391,0.926,0.56514,-0.28161,0.77545
1.372,-0.20245,0.26744,-0.17371,0.92591,0.56559,-0.28199,0.77498
1.388,-0.20258,0.26773,-0.17352,0.92584,0.56605,-0.28221,0.77456
1.406,-0.20269,0.26803,-0.17333,0.92576,0.56653,-0.28237,0.77415
1.422,-0.20278,0.26833,-0.17313,0.92569,0.567,-0.28251,0.77376
1.438,-0.20287,0.26856,-0.17299,0.92563,0.56737,-0.28264,0.77344
1.455,-0.20293,0.26888,-0.17292,0.92554,0.56789,-0.28265,0.77305
1.472,-0.20298,0.26918,-0.17279,0.92546,0.56839,-0.28267,0.77268
1.49,-0.203,0.26937,-0.17264,0.92543,0.56866,-0.28272,0.77246
1.505,-0.20305,0.26958,-0.17251,0.92538,0.56899,-0.28279,0.77219
1.522,-0.20311,0.26984,-0.17231,0.92533,0.56938,-0.2829,0.77186
1.539,-0.20317,0.27021,-0.17215,0.92524,0.56997,-0.28293,0.77142
1.555,-0.20321,0.27048,-0.17203,0.92518,0.57039,-0.28295,0.7711
1.572,-0.20324,0.27077,-0.17193,0.9251,0.57086,-0.28293,0.77076
1.589,-0.20332,0.27111,-0.17183,0.925,0.57144,-0.28297,0.77032
1.605,-0.20334,0.27127,-0.17174,0.92497,0.57167,-0.28299,0.77014
1.622,-0.20337,0.27161,-0.17172,0.92487,0.57225,-0.2829,0.76974
1.638,-0.20342,0.27173,-0.17173,0.92482,0.57247,-0.28293,0.76956
1.655,-0.20346,0.27196,-0.17177,0.92474,0.57287,-0.28286,0.76929
1.672,-0.20346,0.27212,-0.1718,0.92468,0.57316,-0.28277,0.76911
1.688,-0.20346,0.27235,-0.1719,0.9246,0.57357,-0.2826,0.76886
1.705,-0.20339,0.27255,-0.17202,0.92453,0.57393,-0.28231,0.7687
1.723,-0.20328,0.27277,-0.17208,0.92448,0.57431,-0.28198,0.76854
1.739,-0.20309,0.27306,-0.17216,0.92442,0.57477,-0.28146,0.76839
1.756,-0.20282,0.27341,-0.1722,0.92437,0.57532,-0.28079,0.76822
1.772,-0.20254,0.27382,-0.1723,0.92429,0.57598,-0.28005,0.768
1.788,-0.20217,0.2743,-0.1723,0.92423,0.5767,-0.27917,0.76777
1.805,-0.20184,0.27504,-0.17229,0.92408,0.57788,-0.27826,0.76722
1.822,-0.20155,0.27612,-0.17219,0.92385,0.57959,-0.2773,0.76628
1.839,-0.20121,0.27796,-0.17194,0.92341,0.58253,-0.27602,0.76451
1.856,-0.20074,0.2807,-0.17171,0.92273,0.58695,-0.27407,0.76183
1.872,-0.20056,0.28325,-0.17143,0.92204,0.5911,-0.27274,0.75909
1.889,-0.20004,0.28636,-0.17107,0.92126,0.59607,-0.27059,0.75597
1.907,-0.1998,0.28969,-0.17041,0.92039,0.60135,-0.26906,0.75232
1.922,-0.19936,0.2937,-0.16955,0.91937,0.60765,-0.26697,0.74799
1.939,-0.19882,0.2982,-0.16831,0.91827,0.61458,-0.26476,0.7431
1.955,-0.19859,0.30294,-0.16701,0.917,0.62194,-0.26303,0.73757
1.972,-0.19852,0.308,-0.16572,0.91556,0.62979,-0.26143,0.73145
1.989,-0.19878,0.31385,-0.16394,0.91384,0.6388,-0.26039,0.72397
2.006,-0.19924,0.32002,-0.16217,0.91192,0.64829,-0.25958,0.71578
2.022,-0.19962,0.32655,-0.16027,0.90985,0.65821,-0.25858,0.70704
2.039,-0.2003,0.33289,-0.15834,0.90774,0.66779,-0.25822,0.69813
2.056,-0.20114,0.33932,-0.15624,0.90553,0.67739,-0.25825,0.68881
2.072,-0.20181,0.3453,-0.15427,0.90346,0.6862,-0.25812,0.68008
2.089,-0.2025,0.35089,-0.15232,0.90148,0.69433,-0.25821,0.67174
2.106,-0.20349,0.35599,-0.15034,0.89959,0.70167,-0.25909,0.66373
2.122,-0.20439,0.36078,-0.14817,0.89783,0.70842,-0.2601,0.65612
2.139,-0.20524,0.36557,-0.14595,0.89607,0.71506,-0.26112,0.64847
2.156,-0.20578,0.37018,-0.14363,0.89442,0.72131,-0.26177,0.64123
2.172,-0.20621,0.37471,-0.1414,0.89279,0.72739,-0.26224,0.63414
2.19,-0.20667,0.37928,-0.13904,0.89112,0.73344,-0.26287,0.62687
2.206,-0.20748,0.38396,-0.13666,0.8893,0.73962,-0.26408,0.61905
2.223,-0.20805,0.38917,-0.13378,0.88734,0.74631,-0.2651,0.61053
2.239,-0.20858,0.39483,-0.13121,0.88509,0.75366,-0.26561,0.6012
2.256,-0.2091,0.40056,-0.12843,0.8828,0.76094,-0.2663,0.59165
2.272,-0.20971,0.40657,-0.12532,0.88035,0.76841,-0.26734,0.58144
2.289,-0.21032,0.41324,-0.12241,0.8775,0.77674,-0.26794,0.56999
2.306,-0.21095,0.42017,-0.11949,0.87446,0.78526,-0.26853,0.55791
2.322,-0.21163,0.4273,-0.11676,0.8712,0.79394,-0.26896,0.54526
2.339,-0.21234,0.43523,-0.11407,0.86745,0.80353,-0.2691,0.53097
2.357,-0.2133,0.44299,-0.11148,0.86362,0.81271,-0.26965,0.51652
2.372,-0.21436,0.45157,-0.10915,0.8592,0.82278,-0.26977,0.50027
2.389,-0.21525,0.4597,-0.10683,0.85495,0.83202,-0.26984,0.48469
2.407,-0.21631,0.46819,-0.10457,0.85034,0.84148,-0.26996,0.46802
2.423,-0.21716,0.47695,-0.10237,0.84551,0.85099,-0.26957,0.45072
2.439,-0.21789,0.48529,-0.10008,0.84083,0.85971,-0.26928,0.43403
2.456,-0.21865,0.49378,-0.097455,0.83599,0.8682,-0.26933,0.41675
2.473,-0.2195,0.50207,-0.094928,0.8311,0.87622,-0.26954,0.39948
2.49,-0.22007,0.50991,-0.092387,0.82645,0.8835,-0.26954,0.38311
2.507,-0.22055,0.51771,-0.089827,0.82175,0.89047,-0.26947,0.36667
2.523,-0.22093,0.52501,-0.087215,0.81728,0.89669,-0.26954,0.35112
2.539,-0.22134,0.53202,-0.085782,0.81278,0.9028,-0.26853,0.33593
2.556,-0.22225,0.53825,-0.083763,0.80863,0.90772,-0.26926,0.32179
2.573,-0.22303,0.54401,-0.082254,0.8047,0.91222,-0.26946,0.30863
2.59,-0.22392,0.54936,-0.08031,0.80101,0.91605,-0.27049,0.29613
2.606,-0.22514,0.55402,-0.078403,0.79764,0.91912,-0.27228,0.28475
2.623,-0.22623,0.55881,-0.076593,0.79415,0.92222,-0.27372,0.27309
2.639,-0.22745,0.56295,-0.074948,0.79104,0.92472,-0.27546,0.26272
2.656,-0.22879,0.56699,-0.073683,0.78788,0.92715,-0.27697,0.25236
2.673,-0.23033,0.57074,-0.072932,0.78479,0.92941,-0.27828,0.24242
2.689,-0.23271,0.5746,-0.072858,0.78127,0.93173,-0.27989,0.23137
2.706,-0.23609,0.57837,-0.072811,0.77746,0.9337,-0.28289,0.2195
2.723,-0.24066,0.58215,-0.073069,0.7732,0.93541,-0.28709,0.20637
2.739,-0.24667,0.58593,-0.073311,0.76842,0.93664,-0.29318,0.19169
2.757,-0.2538,0.58973,-0.074336,0.76307,0.93775,-0.29965,0.17561
2.773,-0.26177,0.59318,-0.075082,0.75761,0.93811,-0.30757,0.15922
2.789,-0.26963,0.59673,-0.075065,0.75205,0.93802,-0.31596,0.14242
2.807,-0.27606,0.60073,-0.073546,0.74667,0.93769,-0.32388,0.12584
2.823,-0.28104,0.60512,-0.072171,0.74137,0.93781,-0.32936,0.10969
2.84,-0.28521,0.60935,-0.070793,0.73644,0.93787,-0.33381,0.094701
2.856,-0.28888,0.61355,-0.06913,0.73166,0.93776,-0.3379,0.080198
2.873,-0.29255,0.61819,-0.067464,0.72643,0.93762,-0.34163,0.064517
2.89,-0.29593,0.62268,-0.065733,0.72138,0.93727,-0.34509,0.049406
2.907,-0.2993,0.62698,-0.06392,0.7164,0.9366,-0.34868,0.034632
2.923,-0.30252,0.63115,-0.062529,0.71149,0.93595,-0.35155,0.020253
2.94,-0.30565,0.63498,-0.061174,0.70685,0.93506,-0.35441,0.0067489
2.957,-0.30856,0.63856,-0.059328,0.7025,0.93379,-0.35776,-0.0059486
2.973,-0.31102,0.64234,-0.05755,0.69811,0.93264,-0.36032,-0.018665
2.99,-0.31309,0.6459,-0.05569,0.69404,0.93143,-0.36265,-0.030416
3.007,-0.31536,0.6495,-0.054239,0.68975,0.93019,-0.36459,-0.042606
3.023,-0.31758,0.65256,-0.052355,0.68598,0.92854,-0.36737,-0.053387
3.04,-0.31921,0.65598,-0.050653,0.68208,0.9272,-0.369,-0.064416
3.057,-0.32038,0.65931,-0.048901,0.67844,0.92593,-0.37023,-0.074668
3.073,-0.32159,0.66245,-0.047421,0.6749,0.92468,-0.37126,-0.084516
3.09,-0.32279,0.66556,-0.046072,0.67135,0.92339,-0.37209,-0.094325
3.107,-0.32374,0.669,-0.044989,0.66754,0.9223,-0.37202,-0.10474
3.123,-0.32472,0.67242,-0.044239,0.66366,0.92126,-0.37151,-0.11518
3.14,-0.32506,0.67594,-0.043927,0.65994,0.92071,-0.36965,-0.12511
3.157,-0.32547,0.67943,-0.043512,0.65616,0.91996,-0.36799,-0.13512
3.173,-0.32543,0.68329,-0.043633,0.65215,0.91962,-0.36484,-0.14559
3.19,-0.325,0.68734,-0.043943,0.64808,0.91947,-0.36084,-0.15611
3.207,-0.32467,0.69175,-0.044605,0.6435,0.91923,-0.35614,-0.16785
3.223,-0.32447,0.69609,-0.04514,0.63886,0.9187,-0.35174,-0.17964
3.24,-0.32403,0.70034,-0.045967,0.63436,0.91833,-0.34672,-0.19095
3.257,-0.32381,0.70468,-0.046534,0.62961,0.91748,-0.34216,-0.20284
3.273,-0.32358,0.70829,-0.046876,0.62564,0.9166,-0.33848,-0.21276
3.29,-0.32406,0.71183,-0.047104,0.62134,0.91511,-0.33565,-0.22343
3.307,-0.32454,0.71486,-0.046711,0.61763,0.91336,-0.3341,-0.23271
3.323,-0.32513,0.71744,-0.046036,0.61437,0.91148,-0.33345,-0.24085
3.34,-0.32561,0.71998,-0.045367,0.61119,0.90963,-0.33269,-0.24878
3.357,-0.3264,0.72242,-0.044339,0.60795,0.90734,-0.33281,-0.25685
3.373,-0.32728,0.72475,-0.043562,0.60475,0.9051,-0.3327,-0.26477
3.392,-0.3281,0.72694,-0.042124,0.60178,0.90255,-0.33365,-0.27217
3.407,-0.32853,0.72957,-0.040847,0.59844,0.90004,-0.33361,-0.28041
3.424,-0.32855,0.73264,-0.038766,0.5948,0.89703,-0.33404,-0.28942
3.44,-0.3282,0.7359,-0.036826,0.59109,0.89413,-0.33379,-0.29852
3.457,-0.32728,0.7396,-0.035312,0.58705,0.89148,-0.33202,-0.30825
3.474,-0.3255,0.74408,-0.033352,0.58248,0.88854,-0.32956,-0.31921
3.492,-0.32308,0.74939,-0.030644,0.57715,0.88482,-0.327,-0.33193
3.507,-0.32026,0.75521,-0.029077,0.57117,0.88134,-0.32193,-0.34583
3.524,-0.31702,0.76114,-0.028338,0.56511,0.87823,-0.31517,-0.35969
3.54,-0.31351,0.76766,-0.027585,0.55826,0.8744,-0.30768,-0.37517
3.558,-0.3097,0.77427,-0.026728,0.55125,0.87019,-0.30006,-0.39083
3.574,-0.30569,0.78096,-0.024738,0.5441,0.86496,-0.29402,-0.40669
